bande_src,bande_dst,detecteur,delta_t
B01,B07,D03,-0.527988511305011
B01,B07,D04,0.519977649200882
B01,B07,D05,-0.523124416096834
B01,B07,D06,0.517175802699057
B01,B07,D07,-0.522941385796003
B01,B07,D08,0.518239442099002
B01,B07,D09,-0.525254441403376
B01,B07,D10,0.52137152459909
B01,B07,D11,-0.529610176796268
B01,B07,D12,0.529000173599343
B01,B08,D01,-2.06777400179999
B01,B08,D02,2.06641643779585
B01,B08,D03,-2.04117798480001
B01,B08,D04,2.04465637479734
B01,B08,D05,-2.02587026429683
B01,B08,D06,2.03457424269436
B01,B08,D07,-2.02297816409555
B01,B08,D08,2.03626642009476
B01,B08,D09,-2.03009531150019
B01,B08,D10,2.05012858259579
B01,B08,D11,-2.04907973769878
B01,B08,D12,2.07667444129765
B01,B8A,D01,-0.274326144797669
B01,B8A,D02,0.259787111099286
B01,B8A,D03,-0.271086719403684
B01,B8A,D04,0.256118712801253
B01,B8A,D05,-0.268173652097175
B01,B8A,D06,0.254926191897539
B01,B8A,D07,-0.268896816996858
B01,B8A,D08,0.254982619197108
B01,B8A,D09,-0.270472207004787
B01,B8A,D10,0.256320788001176
B01,B8A,D11,-0.272157898696605
B01,B8A,D12,0.260614221202559
B01,B09,D01,0.266513969603693
B01,B09,D02,-0.273346996298642
B01,B09,D03,0.262713013398752
B01,B09,D04,-0.270309067600465
B01,B09,D05,0.261241377404076
B01,B09,D06,-0.269807421405858
B01,B09,D07,0.260593618302664
B01,B09,D08,-0.268865270605602
B01,B09,D09,0.262997948993871
B01,B09,D10,-0.27187112030515
B01,B09,D11,0.264555501002178
B01,B09,D12,-0.274461866400088
B01,B10,D01,-1.45319231949543
B01,B10,D02,1.47092919520219
B01,B10,D03,-1.43193915160373
B01,B10,D04,1.45389974759746
B01,B10,D05,-1.41983542959497
B01,B10,D06,1.44983164969744
B01,B10,D07,-1.419590732301
B01,B10,D08,1.45264176079945
B01,B10,D09,-1.42058980000002
B01,B10,D10,1.46241301469854
B01,B10,D11,-1.43685833339987
B01,B10,D12,1.48631847910292
B01,B11,D01,-0.828473903500708
B01,B11,D02,0.839730372201302
B01,B11,D03,-0.816260327999771
B01,B11,D04,0.82914232499752
B01,B11,D05,-0.808321801800048
B01,B11,D06,0.828985158994328
B01,B11,D07,-0.808817336794164
B01,B11,D08,0.829758123392821
