bande_src;bande_dst;detecteur;delta_t
B02;B04;D11;0.997720722
B02;B04;D12;-1.012208078
B02;B05;D01;1.269585237
B02;B05;D02;-1.269627311
B02;B05;D03;1.252727035
B02;B05;D04;-1.255572481
B02;B05;D05;1.243423349
B02;B05;D06;-1.251070178
B02;B05;D07;1.241654415
B02;B05;D08;-1.251292205
B02;B05;D09;1.246660544
B02;B05;D10;-1.259501665
B02;B05;D11;1.259202477
B02;B05;D12;-1.275422014
B02;B06;D01;1.530195115
B02;B06;D02;-1.535322115
B02;B06;D03;1.509646276
B02;B06;D04;-1.518866838
B02;B06;D05;1.498604707
B02;B06;D06;-1.512341362
B02;B06;D07;1.496510631
B02;B06;D08;-1.513794187
B02;B06;D09;1.50281321
B02;B06;D10;-1.523314587
B02;B06;D11;1.516901476
B02;B06;D12;-1.542851302
B02;B07;D01;1.793710153
B02;B07;D02;-1.798713336
B02;B07;D03;1.769737878
B02;B07;D04;-1.779695548
B02;B07;D05;1.756654291
B02;B07;D06;-1.771418684
B02;B07;D07;1.754290885
B02;B07;D08;-1.773678695
B02;B07;D09;1.761655578
B02;B07;D10;-1.785395589
B02;B07;D11;1.77884425
B02;B07;D12;-1.808299707
B02;B08;D01;0.261932423
B02;B08;D02;-0.261040198
B02;B08;D03;0.258828197
B02;B08;D04;-0.257838023
B02;B08;D05;0.256489187
B02;B08;D06;-0.256911522
B02;B08;D07;0.256099516
B02;B08;D08;-0.25708067
B02;B08;D09;0.257977345
B02;B08;D10;-0.258709322
B02;B08;D11;0.259484449
B02;B08;D12;-0.26188648
B02;B8A;D01;2.053762589
B02;B8A;D02;-2.064241673
B02;B8A;D03;2.026889101
B02;B8A;D04;-2.042762344
B02;B8A;D05;2.011877265
B02;B8A;D06;-2.033566136
B02;B8A;D07;2.008778737
B02;B8A;D08;-2.035995259
B02;B8A;D09;2.017038601
B02;B8A;D10;-2.049251761
B02;B8A;D11;2.036515357
B02;B8A;D12;-2.07578696
B02;B09;D01;2.595836672
B02;B09;D02;-2.596693235
B02;B09;D03;2.561817179
B02;B09;D04;-2.570058003
B02;B09;D05;2.543405797
B02;B09;D06;-2.557579245
B02;B09;D07;2.539370321
B02;B09;D08;-2.560586915
B02;B09;D09;2.550157147
B02;B09;D10;-2.5775148
B02;B09;D11;2.573717346
B02;B09;D12;-2.611183244
B02;B10;D01;0.884427281
B02;B10;D02;-0.84841911
B02;B10;D03;0.869872132
B02;B10;D04;-0.840306009
B02;B10;D05;0.866358875
B02;B10;D06;-0.834699989
B02;B10;D07;0.86521191
B02;B10;D08;-0.83665475
B02;B10;D09;0.871637878
B02;B10;D10;-0.840220084
B02;B10;D11;0.87763276
B02;B10;D12;-0.850625839
B02;B11;D01;1.507992577
B02;B11;D02;-1.479060407
B02;B11;D03;1.487014975
B02;B11;D04;-1.46462597
B02;B11;D05;1.47764228
B02;B11;D06;-1.455991444
B02;B11;D07;1.4755049
B02;B11;D08;-1.45723256
B02;B11;D09;1.484374768
B02;B11;D10;-1.464038927
B02;B11;D11;1.497320353
B02;B11;D12;-1.482645396
B02;B12;D01;2.132162019
B02;B12;D02;-2.10936337
B02;B12;D03;2.102827789
B02;B12;D04;-2.088002011
B02;B12;D05;2.088250223
B02;B12;D06;-2.076410315
B02;B12;D07;2.085598102
B02;B12;D08;-2.078230152
B02;B12;D09;2.096187414
B02;B12;D10;-2.089147047
B02;B12;D11;2.115292049
B02;B12;D12;-2.116584191
B03;B01;D01;1.80399061
B03;B01;D02;-1.800296923
B03;B01;D03;1.779639931
B03;B01;D04;-1.782199113
B03;B01;D05;1.767421124
B03;B01;D06;-1.773186942
B03;B01;D07;1.764771578
B03;B01;D08;-1.775818863
B03;B01;D09;1.771708
B03;B01;D10;-1.787384186
B03;B01;D11;1.790407723
B03;B01;D12;-1.811281039
B03;B02;D01;-0.52428095
B03;B02;D02;0.523086095
B03;B02;D03;-0.517746379
B03;B02;D04;0.517170122
B03;B02;D05;-0.513752634
B03;B02;D06;0.515304011
B03;B02;D07;-0.512794828
B03;B02;D08;0.515316396
B03;B02;D09;-0.515234233
B03;B02;D10;0.518697272
B03;B02;D11;-0.518583715
B03;B02;D12;0.52554987
B03;B04;D01;0.481930755
B03;B04;D02;-0.48383521
B03;B04;D03;0.475116215
B03;B04;D04;-0.478978929
B03;B04;D05;0.471691022
B03;B04;D06;-0.476782292
B03;B04;D07;0.471386193
B03;B04;D08;-0.477623074
B03;B04;D09;0.472950194
B03;B04;D10;-0.480423945
B03;B04;D11;0.479135115
B03;B04;D12;-0.486673784
B03;B05;D01;0.745291568
