bande_src;bande_dst;detecteur;delta_t
B02;B04;D11;0.999577724
B02;B04;D12;-1.014219621
B02;B05;D01;1.271939649
B02;B05;D02;-1.272170061
B02;B05;D03;1.255764265
B02;B05;D04;-1.258857223
B02;B05;D05;1.24672709
B02;B05;D06;-1.252925395
B02;B05;D07;1.243873495
B02;B05;D08;-1.253597948
B02;B05;D09;1.249078276
B02;B05;D10;-1.262679232
B02;B05;D11;1.259965917
B02;B05;D12;-1.277646618
B02;B06;D01;1.532764952
B02;B06;D02;-1.538441577
B02;B06;D03;1.513194882
B02;B06;D04;-1.522802463
B02;B06;D05;1.502663098
B02;B06;D06;-1.514394938
B02;B06;D07;1.498420381
B02;B06;D08;-1.515412857
B02;B06;D09;1.50439358
B02;B06;D10;-1.525894016
B02;B06;D11;1.51833367
B02;B06;D12;-1.546582036
B02;B07;D01;1.796665899
B02;B07;D02;-1.802105178
B02;B07;D03;1.773037586
B02;B07;D04;-1.783905777
B02;B07;D05;1.760608279
B02;B07;D06;-1.774785628
B02;B07;D07;1.757338556
B02;B07;D08;-1.775732495
B02;B07;D09;1.763903967
B02;B07;D10;-1.78813327
B02;B07;D11;1.780175875
B02;B07;D12;-1.810876817
B02;B08;D01;0.262857231
B02;B08;D02;-0.261821671
B02;B08;D03;0.259463882
B02;B08;D04;-0.259030721
B02;B08;D05;0.257352259
B02;B08;D06;-0.257187957
B02;B08;D07;0.256665783
B02;B08;D08;-0.257532687
B02;B08;D09;0.258280429
B02;B08;D10;-0.259253932
B02;B08;D11;0.259738826
B02;B08;D12;-0.263130128
B02;B8A;D01;2.056640984
B02;B8A;D02;-2.068706981
B02;B8A;D03;2.030015605
B02;B8A;D04;-2.047959176
B02;B8A;D05;2.015664661
B02;B8A;D06;-2.037309792
B02;B8A;D07;2.011532916
B02;B8A;D08;-2.039370531
B02;B8A;D09;2.018872774
B02;B8A;D10;-2.053696306
B02;B8A;D11;2.037813309
B02;B8A;D12;-2.079942453
B02;B09;D01;2.597739949
B02;B09;D02;-2.601845076
B02;B09;D03;2.563945538
B02;B09;D04;-2.574373657
B02;B09;D05;2.545093341
B02;B09;D06;-2.562052336
B02;B09;D07;2.540924089
B02;B09;D08;-2.563221365
B02;B09;D09;2.552135676
B02;B09;D10;-2.58182087
B02;B09;D11;2.574240264
B02;B09;D12;-2.61474675
B02;B10;D01;0.877386216
B02;B10;D02;-0.857343243
B02;B10;D03;0.86880741
B02;B10;D04;-0.849906288
B02;B10;D05;0.86365672
B02;B10;D06;-0.84209115
B02;B10;D07;0.86048788
B02;B10;D08;-0.841357641
B02;B10;D09;0.868380604
B02;B10;D10;-0.847213969
B02;B10;D11;0.872686536
B02;B10;D12;-0.853790294
B02;B11;D01;1.502485745
B02;B11;D02;-1.488735886
B02;B11;D03;1.484716815
B02;B11;D04;-1.474807266
B02;B11;D05;1.475246848
B02;B11;D06;-1.463056033
B02;B11;D07;1.471191158
B02;B11;D08;-1.464327751
B02;B11;D09;1.480637187
B02;B11;D10;-1.474402937
B02;B11;D11;1.49217073
B02;B11;D12;-1.491930727
B02;B12;D01;2.125847272
B02;B12;D02;-2.120541299
B02;B12;D03;2.100616832
B02;B12;D04;-2.099509354
B02;B12;D05;2.08727328
B02;B12;D06;-2.085115879
B02;B12;D07;2.081870476
B02;B12;D08;-2.087134281
B02;B12;D09;2.093694302
B02;B12;D10;-2.10172682
B02;B12;D11;2.111091981
B02;B12;D12;-2.12723954
B03;B01;D01;1.80541439
B03;B01;D02;-1.803973938
B03;B01;D03;1.781666489
B03;B01;D04;-1.785627511
B03;B01;D05;1.768791284
B03;B01;D06;-1.776716838
B03;B01;D07;1.766984593
B03;B01;D08;-1.778468188
B03;B01;D09;1.772215448
B03;B01;D10;-1.790687767
B03;B01;D11;1.789241278
B03;B01;D12;-1.81386023
B03;B02;D01;-0.525717569
B03;B02;D02;0.524392955
B03;B02;D03;-0.5195409
B03;B02;D04;0.51844951
B03;B02;D05;-0.515091617
B03;B02;D06;0.515639202
B03;B02;D07;-0.513421679
B03;B02;D08;0.516082378
B03;B02;D09;-0.517023147
B03;B02;D10;0.519565407
B03;B02;D11;-0.520510909
B03;B02;D12;0.526884992
B03;B04;D01;0.482122615
B03;B04;D02;-0.485003379
B03;B04;D03;0.475462427
B03;B04;D04;-0.480491572
B03;B04;D05;0.472786594
B03;B04;D06;-0.478352219
B03;B04;D07;0.471969277
B03;B04;D08;-0.478646881
B03;B04;D09;0.472888851
B03;B04;D10;-0.482186613
B03;B04;D11;0.479057031
B03;B04;D12;-0.48736195
B03;B05;D01;0.746207394
B03;B05;D02;-0.747781658
B03;B05;D03;0.736217254
B03;B05;D04;-0.74040661
